Junction_ID,Junction_Name,Day_Category,Hour_Int,Avg_Delay,Avg_Volume,Avg_Adaptive
3,ราชประสงค์,Weekday,0,38.02,3458.73,99.2
3,ราชประสงค์,Weekday,1,34.22,2824.27,100.0
3,ราชประสงค์,Weekday,2,32.15,2408.55,100.0
3,ราชประสงค์,Weekday,3,30.49,2253.91,100.0
3,ราชประสงค์,Weekday,4,26.55,2450.73,100.0
3,ราชประสงค์,Weekday,5,32.52,3216.55,100.0
3,ราชประสงค์,Weekday,6,50.52,3247.55,100.0
3,ราชประสงค์,Weekday,7,70.04,3454.55,96.87
3,ราชประสงค์,Weekday,8,89.97,3656.0,89.21
3,ราชประสงค์,Weekday,9,105.88,3703.64,93.0
3,ราชประสงค์,Weekday,10,131.42,3891.55,71.8
3,ราชประสงค์,Weekday,11,151.22,3838.55,50.35
3,ราชประสงค์,Weekday,12,167.24,3550.91,41.17
3,ราชประสงค์,Weekday,13,153.24,3478.36,44.27
3,ราชประสงค์,Weekday,14,172.55,3340.55,39.52
3,ราชประสงค์,Weekday,15,166.03,3403.36,34.96
3,ราชประสงค์,Weekday,16,156.37,3417.82,42.04
3,ราชประสงค์,Weekday,17,148.99,3297.55,56.03
3,ราชประสงค์,Weekday,18,153.49,3137.64,66.2
3,ราชประสงค์,Weekday,19,137.67,3164.36,39.11
3,ราชประสงค์,Weekday,20,130.75,3186.27,61.55
3,ราชประสงค์,Weekday,21,120.94,3307.91,62.82
3,ราชประสงค์,Weekday,22,98.59,3349.09,77.71
3,ราชประสงค์,Weekday,23,54.44,3574.55,92.37
3,ราชประสงค์,Weekend,0,36.13,3896.83,100.0
3,ราชประสงค์,Weekend,1,33.98,3275.83,98.76
3,ราชประสงค์,Weekend,2,27.76,2881.17,100.0
3,ราชประสงค์,Weekend,3,27.36,2578.5,100.0
3,ราชประสงค์,Weekend,4,32.26,2643.0,100.0
3,ราชประสงค์,Weekend,5,30.31,3133.33,100.0
3,ราชประสงค์,Weekend,6,33.37,2792.83,99.57
3,ราชประสงค์,Weekend,7,39.54,3270.17,100.0
3,ราชประสงค์,Weekend,8,52.06,3702.17,100.0
3,ราชประสงค์,Weekend,9,78.78,3862.0,99.22
3,ราชประสงค์,Weekend,10,118.89,4160.0,79.66
3,ราชประสงค์,Weekend,11,160.06,3898.0,23.05
3,ราชประสงค์,Weekend,12,167.1,3753.5,2.24
3,ราชประสงค์,Weekend,13,204.63,3645.0,3.62
3,ราชประสงค์,Weekend,14,205.8,3556.33,14.17
3,ราชประสงค์,Weekend,15,198.95,3584.83,0.0
3,ราชประสงค์,Weekend,16,214.69,3350.33,0.0
3,ราชประสงค์,Weekend,17,176.95,3396.17,16.16
3,ราชประสงค์,Weekend,18,154.65,3390.5,27.52
3,ราชประสงค์,Weekend,19,139.55,3577.0,64.15
3,ราชประสงค์,Weekend,20,124.1,3767.33,93.07
3,ราชประสงค์,Weekend,21,118.41,3654.0,86.91
3,ราชประสงค์,Weekend,22,100.32,3851.67,86.24
3,ราชประสงค์,Weekend,23,61.61,4198.83,91.53
3,ราชประสงค์,Weekday,0,35.29,4387.0,100.0
3,ราชประสงค์,Weekday,1,29.63,4209.0,100.0
3,ราชประสงค์,Weekday,2,24.97,3795.0,100.0
3,ราชประสงค์,Weekday,3,28.45,3262.0,100.0
3,ราชประสงค์,Weekday,4,25.5,3131.0,100.0
3,ราชประสงค์,Weekday,5,32.35,3785.0,100.0
3,ราชประสงค์,Weekday,6,39.93,3896.0,100.0
3,ราชประสงค์,Weekday,7,55.54,3987.0,100.0
3,ราชประสงค์,Weekday,8,73.47,4398.0,100.0
3,ราชประสงค์,Weekday,9,75.42,4284.0,95.83
3,ราชประสงค์,Weekday,10,100.25,4828.0,95.06
